Title,Price,Link,Details,Extra Details,Description,Detailed Price
Stan na dan Bijeljina 065/605 -501,50 KM,https://olx.ba/artikal/65181434,Tip nekretnine Stan | Broj soba Dvosoban (2) | Kvadratura 34 | Check in (sat) 13 | Check out (sat) 11 | Godina izgradnje 2020+ | Sprat 2 | Minimalan broj noćenja 1 | Pet friendly Ne | Zabranjeno pušenje ✓ | Lift ✓ | WIFI ✓ | Parking ✓ | Datum objave 02.12.2024,"Detaljni opis
Stan je nov,zgrada tek useljena
i nalazi se u ulici Tolstojeva 40.
Stan posjeduje sve sto je potrebno za kraći,a i duži boravak.
Žurke i veća okupljanja nisu dozvoljena.
Sve informacije mozete dobiti putem telefona,vibera i whatsappa.
50 KM  dvije osobe,tri i četiri osobe 60 KM.",Stan na dan Bijeljina 065/605 -501,50 KM
Stan na dan Čapljina,Na upit,https://olx.ba/artikal/48793642,Blizina apoteke Do 100 m | WIFI ✓ | Tip nekretnine Stan | Broj soba Jednosoban (1) | Kvadratura 55 | Sprat Prizemlje | Vrsta grijanja Struja | Klima ✓ | Parking ✓ | Check in (sat) 18 | Check out (sat) 10 | Blizina prodavnice Do 100 m | Blizina restorana Do 100 m | Blizina centra Do 100 m | Datum objave 08.07.2022,"Detaljni opis


✅STAN NA DAN ČAPLJINA ✅


Izadaje se renoviran potpuno namješten stan u centru Čapljine.
Stan sadrzi sve potrebne kućanske aparate,internet,tv,klima ...
Parkirno mjesto osigurano.
Stan moze primiti 3 osobe.

NE IZDAJE SE NA DUZI PERIOD

❗️ZABAVE U STANU NISU DOZVOLJENE!❗️



📞Rezervacije i informacije na broj
+387 63409300 (Viber, WhatsApp)




Prikaži više",Stan na dan Čapljina,Na upit
Stan na dan APARTMANI ZLATNI SAN Banja Luka Lazarevo NEW,90 KM,https://olx.ba/artikal/65514108,Tip nekretnine Stan | Broj soba Jednosoban (1) | Kvadratura 45 | Check in (sat) 11 | Check out (sat) 08 | Vrsta grijanja Centralno (gradsko) | Minimalan broj noćenja 1 | Pet friendly Ne | Godina izgradnje 2020+ | Sprat 3 | Zabranjeno pušenje ✓ | Lift ✓ | WIFI ✓ | Klima ✓ | Parking ✓ | Datum objave 20.12.2024,"Detaljni opis
➡️STAN NA DAN


APARTMANI ""ZLATNI SAN"" BANJA LUKA 🆓🆕🔝


✔️Lokacija📍 Lazarevo (Budžak), Knjaza Miloša 6, Banja Luka


✔️Prelijep i miran kraj, na svega 10 min vožnje do centra grada





































Prikaži više",Stan na dan APARTMANI ZLATNI SAN Banja Luka Lazarevo NEW,90 KM
"Stan na dan Kety /City Mostar /063 861-244 (WhatsApp,Viber)",50 KM,https://olx.ba/artikal/63108966,Tip nekretnine Stan | Broj soba Jednosoban (1) | Kvadratura 45 | Check in (sat) 14 | Check out (sat) 12 | Godina izgradnje 2010+ | Sprat 1 | Vrsta grijanja Struja | Minimalan broj noćenja 1 | Blizina prodavnice Do 100 m | Blizina restorana Do 100 m | Blizina centra Do 100 m | Blizina javnog prevoza Do 100 m | Pet friendly Ne | Zabranjeno pušenje ✓ | Lift ✓ | WIFI ✓ | Klima ✓ | Parking ✓ | Datum objave 14.08.2024,"Detaljni opis
.Izdaje se stan na dan u Vukovarskoj ulici City centar u Mostaru 50 KM radni dani  ..PETAK,SUBOTA I NEDJELJA 60KM
Treca i četvrta osoba dodatno po 20 KM
Self chek in
Nudimo vise smještajnih jedinica od kojih jedna ima balkon i gleda na Ice bar
Sve jedinice  mogu primiti od 2-4 osoba
Potpuno opremljeni i uredni stanovi

(Cista posteljina,ručnici,prekrivači..)

Sastoji se od dnevnog boravka,spavaće sobe,hodnika,kuhinje i WC

Kuhinja -kuhalo za vodu,kava,čaj,hladni napitak

Spavaća soba - posteljina,ručnici,pegla,

WC - Fen,gel za tuširanje,šampon,ostala higijena

Besplatan Wi-Fi ,kablovska ,internet

Fakultet 800 m ,Mepas 800 m

TABOO BAR 100 m

ICE BAR U kompleksu

U kompleksu Citya se nalazi fitnes centar,restoran,noćni klub,pekara,autobuska stanica,kafić,frizerski studio,beauty salon,benzinska crpka,poliklinika Vitalis

U stanu nije dozvoljeno partijanje,glasno puštanje glazbe,pušenje

Cijene su izražene za dvije osobe

I stanu mogu boraviti 4 osobe

Vise noćiju popust

Kontakt 063 346-223 Viber WhatsApp

063 861 244

Stan City vam želi omogućiti što udobnije i bolje provedeno vrijeme u gradu na raspolaganju za info od 8 do 24 h

Radujemo se skorom druženju ❤️
Prikaži više","Stan na dan Kety /City Mostar /063 861-244 (WhatsApp,Viber)",50 KM
Izdavanje Stan na dan Titanik Tuzla,50 KM,https://olx.ba/artikal/52561538,Tip nekretnine Stan | Vrsta grijanja Centralno (gradsko) | Sprat 10 | Kvadratura 35 | Broj soba Jednosoban (1) | Parking ✓ | Lift ✓ | Klima ✓ | Check in (sat) 12 | Check out (sat) 10 | Blizina restorana Do 100 m | Blizina centra 100 do 200 m | Blizina apoteke Do 100 m | Blizina javnog prevoza Do 100 m | Datum objave 30.03.2023,"Detaljni opis
Izdaje se Stan na dan u centru grada, zgrada Titanik koji je namjenjen za boravak do 4 osobe. Stan je upravo renovoran i moderno namjesten tako da ce zadovoljiti i najzahtjevnije goste. Stan je spojen na sistem centralnog grijanja a posjeduje i klima uredjaj,  opremljen je led TV sa svim domacim i stranim kanalima i internetom. Stan je udaljen samo 5min hoda od Panonskih jezera. U neposrednoj blizine se nalaze trzni centri Merkator i Robot. Od centra grada je udaljen samo par minuta hoda. Mogucnost organizovanja prevoza do i od stana, po zelji gosta i dogovr uz minimalnu doplatu. KUĆNI RED  - Zabranjeno pušenje  - Zabave nisu dozvoljene  - Hodanje u obući nije dozvoljeno  - Bez buke između 22:00 i 07:00  - Bez neprijavljenih gostiju  - Check-in: 13:00 - 23:00 (moguće ranije ili kasnije ako postoji mogucnost za to)  - Check-out: 09:00 - 10:00    VAŽNA NAPOMENA:  - Za svu štetu nastalu u apartmanu odgovara osoba koja je boravila u istom. 
- Cijena izrazena na oglasu je cijena po danu za jednu osobu na duzi period od nekoliko dana.
Za vise informacija i rezervacije obratiti se na telefon/WhatsApp/Viber: +387 62 126 115
Prikaži više",Izdavanje Stan na dan Titanik Tuzla,50 KM
STAN NA DAN BANJA LUKA Tel:066/659-039 Parking besplatan,Na upit,https://olx.ba/artikal/55873792,Tip nekretnine Stan | Broj soba Garsonjera | Kvadratura 45 | Check in (sat) 14 | Check out (sat) 10 | Sprat 2 | Vrsta grijanja Struja | Lift ✓ | Klima ✓ | Parking ✓ | Datum objave 19.10.2023,"Detaljni opis
STUDIO ""DACA"" 066/659-039

Stan se nalazi: na adresi Bulevar Vojvode Stepe Stepanović 272A naselje Ada kod restorana Plava Laguna.

Poseduje parking, klima uređaj, Wi-fi, kablovsku televiziju i sve što vam je potrebno za ugodan odmor.

Cijena je po dogovoru.
Za sve informacije kontakt tel.je +387/66/659‐039 (viber/wa).

PLĆANJE SE VRŠI ISKLJUČIVO PO ULASKU U STAN.

VAŠ STUDIO DACA
Prikaži više",STAN NA DAN BANJA LUKA Tel:066/659-039 Parking besplatan,Na upit
STAN NA DAN,50 KM,https://olx.ba/artikal/29882282,Tip nekretnine Stan | Broj soba Jednosoban (1) | Kvadratura 38 | Check in (sat) 15 | Check out (sat) 12 | Godina izgradnje 1970 do 1979 | Vrsta grijanja Struja | Minimalan broj noćenja 2 | Pet friendly Da | Sprat Prizemlje | Blizina prodavnice Do 100 m | Blizina restorana Do 100 m | Blizina centra 100 do 200 m | Blizina apoteke 100 do 200 m | Blizina javnog prevoza 100 do 200 m | WIFI ✓ | Klima ✓ | Datum objave 31.05.2018,"Detaljni opis
Jednosoban 
 stan - Kalemova ulica


Iznajmljuje se renoviran i moderan  stan površine 38 kvadratna metara koji se nalazi u prizemlju stambene zgrade u Kalemovoj ulici sa lijepim pogledom na centar grada. Stan je opremljen bežičnom internet konekcijom, kabl TV konekcijom, klimom a sadrži: jednu spavacu sobu sa bracnim krevetom i kombinaciju dnevnog boravaka i  kuhinje sa jednim krevetom, a južna orijentacija mu omogucava kvalitetnu cjelodnevnu prirodnu osvijetljenost. Lokacija na kojoj se stan nalazi omogucava ugodan boravak i brz i jednostavan pristup centru grada UNITIC i ALTA poslovnim centrima,hotelu Holiday a nalazi se u neposrednoj blizini opste bolnice, željezničke i autobuske stanice.














Prikaži više",STAN NA DAN,50 KM
"Stan na dan Apartman""GOLD"" Lukavica Garaža 065970319",40 KM,https://olx.ba/artikal/48337086,Kvadratura 30 | Check in (sat) 14 | Check out (sat) 11 | Sprat 1 | Vrsta grijanja Struja | Tip nekretnine Stan | Broj soba Garsonjera | Datum objave 01.06.2022,"Detaljni opis
Izdaje se luksuzno opremljen i komforan Apartman Stan na dan *  ""GOLD"" od 30m2  u Ulici Vojvode Radomira Putnika 61 u Lukavici, Istocno Sarajevo.

Apartman se nalazi na prvom spratu poslovne zgrade. Opremljen je sa novim namještajem, posteljinom, peškirima te sve što treba da posjeduje jedan moderan apartman, WiFi, kablovsku, centralno grijanje,kuhalo za kafu i kafa...

Gosti imaju privatni parking kao i privatnu garažu u sklopu objeka koja je GRATIS!
Objekat posjeduje čuvara i video nadzor!
Cijena noćenja za dvije osobe je 50 KM
Cijena dnevnog boravka 3 h je 40 KM  u terminu do 17 h Cijene u Januaru po dogovoru!

KAPACITET STANA 2 ODRASLE OSOBE

Mogućnost narudžbe svih alkoholnih i bezalkoholnih pića kao i apetisana po najavi!!!

Radujemo se Vašem dolasku i želimo ugodan boravak.
Kontakt telefon 065970319
Položaj apartmana:
*Medjunarodni aerodrom Sarajevo je udaljen  
3.0 km.  *Autobuska stanica Istočno Sarajevo i javni prevoz(trolebus,autobus) su udaljeni 800m. 
*Atraktivne destinacije u blizini:  
*Jahorina udaljenost 25km  **Bjelašnica udaljenost 20km *Trebević udaljenost 10km
*Baščaršija Sarajevo udaljenost 6km
*Vrelo Bosne Ilidža udaljenost 10km.
Prikaži više","Stan na dan Apartman""GOLD"" Lukavica Garaža 065970319",40 KM
Stan na dan Banja Luka,50 KM,https://olx.ba/artikal/66086715,Tip nekretnine Stan | Broj soba Dvosoban (2) | Kvadratura 50 | Check in (sat) 12 | Check out (sat) 10 | Vrsta grijanja Struja | Blizina prodavnice Do 100 m | Blizina restorana 400 do 500 m | Blizina centra Do 100 m | Blizina apoteke Do 100 m | Blizina javnog prevoza Do 100 m | Krevetić za bebe ✓ | Zabranjeno pušenje ✓ | Lift ✓ | WIFI ✓ | Klima ✓ | Parking ✓ | Datum objave 24.01.2025,"Detaljni opis
Moderno uredjen i opremljen stan u naselju Bulevar Novi Borik 21.Stan posjeduje dvije spavace sobe i nalazi se u neposrednoj blizini tržnog centra Delta,restorana Stara Ada i Aquana bazena.
Stan je udaljen 5min vožnje od samog centra grada.
KONTAKT TELEFON ZA REZERVACIJE:
0️⃣6️⃣5️⃣/7️⃣0️⃣9️⃣-7️⃣1️⃣8️⃣",Stan na dan Banja Luka,50 KM
"Stan na dan, Doboj..apartman Stefi",49 KM,https://olx.ba/artikal/36304147,Tip nekretnine Apartman | Broj soba Garsonjera | Check in (sat) 12 | Check out (sat) 10 | Datum objave 16.12.2019,"Detaljni opis
Apartman STEFI se nalazi u strogom centru grada Doboja..neposredna blizina bp Brcko gas i tc Bingo..
500 m udaljenosti od centra grada..
Ulica Cara Dusana br.24

Vise 065 698 646","Stan na dan, Doboj..apartman Stefi",49 KM
Stan na dan Banja Luka LIBERO,40 KM,https://olx.ba/artikal/65568974,Tip nekretnine Apartman | Broj soba Garsonjera | Kvadratura 34 | Check in (sat) 13 | Check out (sat) 11 | Godina izgradnje 2020+ | Sprat Prizemlje | Vrsta grijanja Struja | Minimalan broj noćenja 1 | Blizina prodavnice Do 100 m | Blizina restorana Do 100 m | Blizina centra Preko 1000 m | Blizina apoteke Do 100 m | Blizina javnog prevoza 100 do 200 m | Pet friendly Ne | Lift ✓ | WIFI ✓ | Klima ✓ | Parking ✓ | Datum objave 23.12.2024,"Detaljni opis
⭐️ Iznajmljuje se novi apartman LIBERO po principu “STAN NA DAN” ⭐️
🥂Apartman namijenjen za boravak 2 osobe, 3 osobe PO POTREBI

📍Adresa: Branka Popovića 41p Budžak, Banjaluka (kod tržnog centra Bingo)

☎️ Kontakt: Mob/Viber 066/957-942

💶 CIJENE BORAVKA U STANU:
🌆 Dnevni odmor 3 sata 40 KM
(od 13h do 18h) 50KM
🌃 Noćenje radnim danom 60KM
🌃 Noćenje vikendom (pet,sub,ned) 70KM

↘️ulazak u apartman od 13:00h
↖️izlazak posljedni dan do 11:00h
Prikaži više",Stan na dan Banja Luka LIBERO,40 KM
Stan Lukavica Lukavica Lukavica Lukavica,60 KM,https://olx.ba/artikal/48828536,Tip nekretnine Stan | Broj soba Dvosoban (2) | Kvadratura 42 | Check in (sat) 12 | Check out (sat) 10 | Godina izgradnje 2015+ | Sprat 2 | Vrsta grijanja Struja | Minimalan broj noćenja 1 | Blizina prodavnice Do 100 m | Blizina restorana 200 do 300 m | Blizina centra 300 do 400 m | Blizina apoteke 100 do 200 m | Blizina javnog prevoza 900 do 1000 m | Lift ✓ | WIFI ✓ | Klima ✓ | Parking ✓ | Datum objave 12.07.2022,"Detaljni opis
Izdajem na dan ili duže udoban, moderno opremljen, nov stan na adresi Hilandarska 13 u centru Lukavice.
Stan je udaljen 7 km od centra Sarajeva i 19 km od Jahorine.
Stan sadrzi spavaću sobu sa TV-om, dnevnu sobu sa smart TV-om,  komplet opremljenu kuhinju, kupatilo sa veš mašinom, internet, kablovsku tv, grijanje i balkon.
Nalazi se na vrlo atraktivnoj lokaciji u Istocnom Sarajevu, te u blizini ima banke, prodavnice te brojne ugostiteljske objekte. Zgrada posjeduje parking.
Moguce iznajmljivanje za dnevni boravak 3 sata-30 KM.
Za informacije i rezervacije kontaktirajte nas na broj telefona:  +38766259291.",Stan Lukavica Lukavica Lukavica Lukavica,60 KM
Izdavanje Stan na dan Tuzla Korzo,50 KM,https://olx.ba/artikal/35602481,Blizina apoteke Do 100 m | Blizina javnog prevoza Do 100 m | Zabranjeno pušenje ✓ | WIFI ✓ | Tip nekretnine Stan | Kvadratura 32 | Broj soba Jednosoban (1) | Parking ✓ | Sprat 1 | Vrsta grijanja Centralno (gradsko) | Klima ✓ | Check in (sat) 12 | Check out (sat) 10 | Blizina prodavnice Do 100 m | Blizina restorana Do 100 m | Blizina centra Do 100 m | Datum objave 20.10.2019,"Detaljni opis
Izdaje se stan na dan za do tri osobe koji se nalazi u samom centru grada, pjesacka zona ""Korzo"" koji je predvidjen za boravak do tri osobe. Stan je upravo renovoran i moderno namjesten tako da ce zadovoljiti i najzahtjevnije goste. Stan je spojen na sistem centralnog grijanja a posjeduje i klima uredjaj,  opremljen je led TV sa svim domacim i stranim kanalima i internetom.  U neposrednoj blizini se nalazi pozoriste, trg Slobode,  vjerski i kulturno - istorijski objekti, gradski park, Bingo market, brojni restorani i kafici, gradska ""Velika "" pijaca a Panonska jezera su udaljena svega 30ak metara od stana. Mogucnost organizovanja dorucka  za goste, takodje vrsimo i prevoz do i od stana, po zelji gosta i dogovr uz ninimalnu doplatu. KUĆNI RED  - Zabranjeno pušenje  - Zabave nisu dozvoljene  - Hodanje u obući nije dozvoljeno  - Bez buke između 22:00 i 07:00  - Bez neprijavljenih gostiju  - Check-in: 13:00 - 23:00 (moguće ranije ili kasnije ako postoji mogucnost za to)  - Check-out: 09:00 - 10:00 ( moguce i kasnije uz dogovor). VAŽNA NAPOMENA:  - Za svu štetu nastalu u apartmanu odgovara osoba koja je boravila u istom. 
- Cijena izrazena na oglasu je cijena po nocenju za jednu osobu na period duzi od jednog nocenj. Za vise informacija i rezervacije obratiti se na telefon/WhatsApp/Viber: +387 62 126 115 Za vise fotografija pogledajte nas Instagram profil na  https://www.instagram.com/stan_na_dan_korzo_tuzla/
Prikaži više",Izdavanje Stan na dan Tuzla Korzo,50 KM
Stan na dan Banja Luka 065 513 241 kod studentskog doma,40 KM,https://olx.ba/artikal/44939158,Tip nekretnine Stan | Broj soba Jednoiposoban (1.5) | Kvadratura 40 | Check in (sat) 12 | Check out (sat) 10 | Godina izgradnje 2015+ | Sprat 4 | Vrsta grijanja Centralno (gradsko) | Pet friendly Ne | Lift ✓ | Klima ✓ | Parking ✓ | Datum objave 07.10.2021,"Detaljni opis
STAN NA DAN, NOVOGRADNJA. STAN U ZGRADI U BLIZINI STUDENTSKOG DOMA 5 MINUTA OD CENTRA PODRAZUMIJEVA SE UPOTREBA POSTELJINE I PEŠKIRA,WI-FI INTERNET,KABLOVSKA I KLIMA.PARKING ISPRED ULAZA-BESPLATNO !

TELEFON 065 513 241(VIBER,WHATS APP]

CIJENA 40 KM DNEVNI BORAVAK DO 3 SATA.

NOĆENJE DO 2 OSOBE 50 KM,
VIKENDOM PO DOGOVORU !

VIKENDOM PO DOGOVORU !
Prikaži više",Stan na dan Banja Luka 065 513 241 kod studentskog doma,40 KM
Stan na dan dobrinja,50 KM,https://olx.ba/artikal/66720381,Tip nekretnine Stan | Broj soba Trosoban (3) | Kvadratura 72 | Check in (sat) 00 | Check out (sat) 00 | Datum objave 25.02.2025,"Detaljni opis
Cijena za dvoje 50KM.",Stan na dan dobrinja,50 KM
Stan na dan Banja Luka,50 KM,https://olx.ba/artikal/65623659,Tip nekretnine Stan | Broj soba Jednosoban (1) | Kvadratura 40 | Check in (sat) 13 | Check out (sat) 11 | Vrsta grijanja Struja | Blizina prodavnice 300 do 400 m | Blizina restorana 200 do 300 m | Blizina centra Preko 1000 m | Blizina apoteke 100 do 200 m | Blizina javnog prevoza Do 100 m | Pet friendly Ne | Zabranjeno pušenje ✓ | Lift ✓ | WIFI ✓ | Klima ✓ | Parking ✓ | Datum objave 27.12.2024,"Detaljni opis
Stan se nalazi u novoizgradjenom naselju Novi Borik. U neposrednoj blizini se nalazi benzinska pumpa 24/7, restoran Stara Ada, Gradski olimpijski bazen, market Tropic, kafe bar Enigma. Parking ispred zgrade je besplatan.

Cijena:

Radni dan 50km
Vikend 60km

Kontakt 066/014-687",Stan na dan Banja Luka,50 KM
Stan na dan Banja Luka Centar Jevrejska +387 66 453 570,50 KM,https://olx.ba/artikal/50680703,Tip nekretnine Stan | Broj soba Jednosoban (1) | Kvadratura 31 | Check in (sat) 00 | Check out (sat) 00 | Godina izgradnje 2015+ | Sprat 1 | Vrsta grijanja Struja | Pet friendly Ne | Lift ✓ | WIFI ✓ | Klima ✓ | Parking ✓ | Datum objave 25.11.2022,"Detaljni opis
Lijepo i funkcionalno kompletno opremljen apartman u centru grada.

Nalazi se u Jevrejskoj ulici u mirnom dijelu, udaljen na 3 minuta hoda od Trga Krajine i svih znamenitosti u centru grada. 

""Moj Market"" je udaljen 10. metara, kafić je preko puta ulice, banke, zubne ordinacije i apoteke su ili preko puta ili u zgradi. 

Gradska tržnica je na par minuta hoda, kao i stanice za gradske linije, Kastel, poznati restorani, kafići, zgrada opštine, pozorište, šetalište pored Vrbasa..
...  Auto Vam nije potrebno ...

Prenociste:
- ned/pon/uto/sre/cet  za jednu/dvije osobe 60KM
- pet/sub za jednu/dvije osobe 70KM,
- Dnevni odmor 50 KM do 18h ( 3 sata ),
- Kapacitet do 4 osobe,
- Mogucnost dogovora za vise dana;

Internet, kablovska TV, klima/grijanje (inverter), pegla, posteljina, frižider/zamrzivač, veš mašina, kompletno posudje, rešo, kuvalo za čaj/kafu,  mini biblioteka...
- Besplatan parking ispred zgrade,
- Zabranjeno organizovanje zurki i proslava,
- Zabranjeno za kućne ljubimce,
- Strogo postovanje kucnog reda,
- Ulazak u stan od 13h, izlazak do 10h,
- Cijelokupan iznos za korištenje stana plaća se po ulasku u stan.

                             DOBRO DOSLI
        00387 66 453 570 Viber, Whats app
Prikaži više",Stan na dan Banja Luka Centar Jevrejska +387 66 453 570,50 KM
"Stan na dan sa 2 spavaće sobe, Lukavica, Istočno Sarajevo",50 KM,https://olx.ba/artikal/47669989,Tip nekretnine Stan | Broj soba Trosoban (3) | Kvadratura 50 | Godina izgradnje 2020+ | Sprat 1 | Vrsta grijanja Centralno (gradsko) | Check in (sat) 13 | Check out (sat) 11 | Minimalan broj noćenja 1 | Blizina prodavnice 100 do 200 m | Blizina restorana Do 100 m | Blizina centra 100 do 200 m | Blizina apoteke 100 do 200 m | Blizina javnog prevoza 900 do 1000 m | Lift ✓ | WIFI ✓ | Parking ✓ | Pet friendly Ne | Datum objave 11.04.2022,"Detaljni opis
Stan na dan Lukavica, Istočno Sarajevo. Stan na dan nalazi se u centru Lukavice,  (Istočno Sarajevo), preko puta restorana Perla. Udaljen je od centra Sarajeva 6 km. Aerodrom je udaljen 5 min, Baščaršija 15 min, Jahorina/Bjelašnica/Ravna planina 30 min, autobuska stanica 500 m. 


U krugu od 100 - 300 m nalazi se veći broj ugostiteljskih objekata, dječije igraonice, banke, apoteke, marketi, benzinske pumpe. Svadbeni salon Dar udaljen je 600 m.

Kapacitet stana je 6 odraslih osoba.


STAN SE SASTOJI OD:


1. Dnevni boravak sa kuhinjom. 


Dnevni boravak posjeduje ugaonu garnituru za spavanje 2 odrasle osobe, TV novije generacije sa kablovskom i WiFi internetom, kuhinja posjeduje sve sto je potrebno.


2. Spavaca soba sa udobnim i prostranim bračnim krevetom, namjenjenim za spavanje 2 odrasle osobe.

3. Druga spavaca soba takođe sa  velikim bračnim krevetom namjenjenim za spavanje 2 odrasle osobe.

4. Kupatilo sa ves masinom(sve sto je potrebno za higijenu i čišćenje).


5. Hodnik (ormar za odjeću i obuću).


6. Balkon (stolice i sto za ugodan boravak).


Zgrada ima besplatan parking za goste, lift, elektronsko otključavanje brava, interfon.


Iznajmljivanje nije predviđeno za održavanje proslava i zabava, obavezno je poštovanje kućnog reda.


Navedena cijena od 50 KM je za dvije osobe, a boravak za više noći po dogovoru.
Nova Godina i ostali praznici po dogovoru.


Dnevni boravak  je u ponudi sa opcijom od 3:00 h = 30.00 KM(dnevni termin), za verernji i duži boravak od 3h cijena je po dogovoru. 

Mogućnost izdavanja računa.


Vi nam poklonite svoje povjerenje, a mi ćemo se potruditi da opravdamo Vaš izbor.


Stan na dan

066208084

065422528

Dostupni i na Viber/WhatsApp

Dostupni i na Viber/WhatsApp
Prikaži više","Stan na dan sa 2 spavaće sobe, Lukavica, Istočno Sarajevo",50 KM
Stan Zenica STAN na dan 063004940,50 KM,https://olx.ba/artikal/59495507,Tip nekretnine Stan | Broj soba Garsonjera | Kvadratura 51 | Check in (sat) 12 | Check out (sat) 14 | Godina izgradnje 2020+ | Sprat Visoko prizemlje | Vrsta grijanja Struja | WIFI ✓ | Klima ✓ | Datum objave 10.03.2024,"Detaljni opis
BEZ DERNEKA, ŽURKI, PROSLAVA
ISKLJUČIVO ZA BRAČNE PAROVE, POSLOVNE LJUDE I PORODICE",Stan Zenica STAN na dan 063004940,50 KM
"Stan na dan / Banja Luka, strogi centar",70 KM,https://olx.ba/artikal/33097477,Tip nekretnine Stan | Broj soba Dvosoban (2) | Kvadratura 70 | Sprat 1 | Vrsta grijanja Centralno (Kotlovnica) | Godina izgradnje 2020+ | Parking ✓ | Datum objave 14.03.2019,"Detaljni opis
Otkrijte šarm Banja Luke boravkom u našem ekskluzivnom stanu na dan / apartmanu, smještenom u srcu grada, samo 50 metara od živopisne Gospodske ulice. Smješten u čuvenoj Vili Štern, kulturnom dragulju grada pod zaštitom, naš stan odiše autentičnošću i elegancijom. Sa prozora, uživajte u zadivljujućem pogledu na Hram Hrista Spasitelja, Muzej savremene umjetnosti, Hotel Bosnu, i samu Gospodsku ulicu.

Stan, savršeno pozicioniran u blizini bolnice, škola, vrtića, supermarketa i autobuskog stajališta, pruža i lakoću pristupa svim važnim lokacijama u gradu. Luksuzno opremljen, stan pruža komfor i sofisticiranost za do četiri osobe. Sastoji se od prostrane dnevne sobe, dvije spavaće sobe, moderno opremljene kuhinje, i funkcionalnog kupatila.

Kao poseban dodatak, naši gosti mogu uživati u besplatnom parkingu, pružajući dodatnu udobnost i mir tokom Vašeg boravka. Apartman je kompletno opremljen za Vašu udobnost i praktičnost, uključujući sve potrebne stvari od peškira, pegle, kupke za tuširanje, do kafe i čaja te ostalih dnevnih potrepština. Ovaj detalj pažnje čini da se naši gosti osjećaju kao kod kuće.


Prikaži više","Stan na dan / Banja Luka, strogi centar",70 KM
"Stan na dan, Apartman Nela Banja Luka 065/623-970",50 KM,https://olx.ba/artikal/60238739,Tip nekretnine Apartman | Broj soba Dvosoban (2) | Kvadratura 37 | Check in (sat) 14 | Check out (sat) 11 | Godina izgradnje 2020+ | Pet friendly Ne | Zabranjeno pušenje ✓ | Lift ✓ | WIFI ✓ | Klima ✓ | Parking ✓ | Datum objave 11.04.2024,"Detaljni opis
Apartman NELA ,novoopremljen, prelijepo namješten jednosoban stan u naselju Ada (City Block), ulica prof.dr.Smilje Avramov br:17, I sprat. Stan je potpuno opremljen, kuhinja komplet opremljena sa posuđem,TV, Wi-Fi, inverter klima, pegla za ves, fen za kosu, peškiri i šamponi.

Stan se sastoji od predulaza, kupatila, spavaće sobe, dnevnog boravka/trpezarije,kuhinje i terase. Parking je obezbjeđen ispred zgrade. Apartman je namjenjen za udoban boravak dve osobe a maksimalan kapacitet je četiri osobe.

U blizini apartmana se nalaze:

Tržni centri: Tropik 200 m,

Restorani: Appetito 200m,.

Gradski olimpiski bazen 400 m.

Teretana: Blu Line 400m

Cijena boravka u stanu:

- dnevni odmor 40 KM (3sata).

- dnevni boravak posle 19h, obračunava se kao prenoćište.

- prenoćište 1-2 osobe 50KM/noć (ponedeljak-četvrtak) ili 60KM/noć (petak-nedelja).

- svaka naredna osoba +10 KM .

Za duži zakup apartmana moguć popust po dogovoru:

Iznos zakupa se u cjelosti plaća pri ulazku u apartman.

NAJSTROŽIJE JE ZABRANJENO:


- PUŠENJE U APARTMANU.

- KUĆNI LJUBIMCI.

-BORAVAK MALOLJETNIH OSOBA BEZ PRISUSTVA PUNOLJETNE OSOBE...

- PRAVLJENJE  ŽURKI I OKUPLJANJA!

Radujemo se Vašem dolasku i želimo ugodan boravak u Banjaluci !


Sve informacije na tel: 065/623-970 (viber, whatsApp)

Apartman Nela

  Prikaži više","Stan na dan, Apartman Nela Banja Luka 065/623-970",50 KM
"Stan Na Dan Sarajevo - Dobrinja, Aerodromsko Naselje",60 KM,https://olx.ba/artikal/64848291,Tip nekretnine Apartman | Broj soba Jednosoban (1) | Kvadratura 45 | Check in (sat) 13 | Check out (sat) 10 | Godina izgradnje 2015+ | Vrsta grijanja Plin | Minimalan broj noćenja 1 | Zabranjeno pušenje ✓ | Lift ✓ | WIFI ✓ | Klima ✓ | Parking ✓ | Datum objave 15.11.2024,"Detaljni opis
Stan Na Dan - Dobrinja - Aerodromsko Naselje

NA DUZI PERIOD NE IZNAJMLJUJEMO.

Apartman se sastoji od dnevnog boravka sa kuhinjom, spavace sobe, kupatila i balkona. U dnevnom boravku mogu spavati dvije osobe. Gostima je na raspolaganju WiFi, kafa/caj, sampon/gel za tusiranje, parking (privatan), fen za kosu, masina za pranje vesa, klima, pegla i stol za peglanje.

NAPOMENA: Pusenje u apartmanu nije dozvoljeno, samo na balkonu. Kucni ljubimci, takodjer nisu dozvoljeni. Apartman nije namjenjen za proslave i rodjendane.






Prikaži više","Stan Na Dan Sarajevo - Dobrinja, Aerodromsko Naselje",60 KM
